asdas 	3000	2	9.0
asdsada 	1000	1	4.0
abba 	3000	2	9.0
alla 	5000	1	4.0
nanana	13000	2	9.0
baba	11000	1	4.0asdasd 	3000	0	3.0
Dani 	1000	0	20.0
Dani 	0	1	9.0
dani 	12000	2	52.0
	0	0	1.0
asd asd 	1000	0	2.0
asd 	1000	1	5.0
asd 	1000	1	16.0
mukodik 	1000	0	17.0
okes 	0	0	13.0
na nezzek 	3000	1	80.0
asd 	0	0	8.0
asdasd 	0	0	6.0
asd 	1000	2	89.0
asd 	0	1	100.0
asd 	0	1	5.0
asd 	1000	1	7.0
	12000	0	28.0
adsa 	0	1	5.0
asd 	1000	1	15.0
asd 	3000	2	8.0
asd 	1000	0	93.0
asd 	0	0	112.0
asd 	0	0	145.0
asd 	1000	0	65.0
asd 	0	1	53.0
asd 	0	0	59.0
asd 	0	0	131.0
asd 	3000	0	9.0
asd 	0	0	1.0
asd 	0	0	6.0
asd 	1000	2	11.0
	3000	2	6.0
proba123 	3000	0	17.0
asd 	3000	1	17.0
	1000	0	5.0
	0	0	1.0
asd 	1000	1	8.0
asd 	0	1	2.0
	1000	0	2.0
lp 	3000	0	13.0
45 	12000	0	24.0
	0	0	1.0
dda 	0	1	22.0
	1000	2	205.0
Lala 	3000	2	58.0
asd 	3000	1	6.0
asd 	3000	1	7.0
asd 	0	0	2.0
a 	0	0	2.0
Dani 	0	0	9.0
Dan 	3000	0	16.0
a 	0	0	1.0
